id;login;cabinet;dmaj;recordstatus;ddebut;dfin
3374;cbertagnolio;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
1001;cbertagnolio;sillans;2017-04-19 15:05:28;0;2017-04-19;
1000;cbertagnolio;izeaux;2017-04-19 15:03:37;0;2017-04-19;
2567;cberthier;rouvres;2018-03-08 08:48:54;0;2018-03-08;
64;cberthier;gissey;2018-03-08 08:51:37;0;2018-01-31;
68;cberthier;velars;2015-04-30 18:52:34;0;2014-10-01;
64;cberthier;gissey;2018-03-08 08:51:37;0;2018-03-08;
2530;cberthier;neuillyledijon;2018-02-02 15:17:02;0;2018-02-02;
66;cberthier;plombiereslesdijon;2015-04-30 18:52:34;0;2014-10-17;
2975;cberthier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2566;cberthier;genlis;2018-03-08 08:45:25;0;2018-03-08;
65;cberthier;malain;2018-03-08 08:51:01;0;2014-09-18;
65;cberthier;malain;2018-03-08 08:51:01;0;2018-03-08;
64;cberthier;gissey;2018-03-08 08:51:37;0;2014-10-23;
67;cberthier;sombernon;2018-04-17 17:13:14;1;2014-09-30;2018-04-17
2847;cbiard;montluconvillebret;2018-09-21 17:11:14;0;2018-09-21;
2870;cbiard;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2820;cbiard;desertines;2018-09-04 09:52:44;0;2018-09-04;
2846;cbiard;montlucon;2018-09-21 17:10:48;0;2018-09-21;
71;cbiard;aubin;2018-09-21 17:09:18;1;2013-02-21;2018-09-21
